,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD
0,86017,Call (86017),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,2,1,3,2.0,6.339850002884624,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
1,86030,object_id_ (86030),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
2,200724,Idle (200724),Method,6,0,2,4,1,0,0,0,2,3,18.0,7,9,21,19,48.18080946738404,160.0,0.12280701754385964,0.014505945122742895,0.013182595743124245,0.0,1.0131825957431242,0.013182595743124245
3,198346,all_connections_ (198346),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.10734399390829742,0.0,0.033898103339462346,1.0338981033394623,0.033898103339462346
4,73749,Win32SymbolDebuggingContext (73749),Method,3,0,2,1,0,0,0,0,2,1,4.0,1,1,1,2,0.0,3.0,0.07017543859649122,0.014505945122742895,0.0075329118532138535,0.0,1.007532911853214,0.0075329118532138535
5,74005,current_process_ (74005),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.10734399390829742,0.0,0.02824841944955195,1.028248419449552,0.02824841944955195
6,102426,GetNewTarget (102426),Method,3,0,1,2,0,1,0,0,0,2,7.0,1,2,3,3,2.0,9.509775004326936,0.07017543859649122,0.014505945122742895,0.021493544594630716,0.0,1.0214935445946307,0.021493544594630716
7,122214,JsValueFromV8LocalValue (122214),Method,1,12,0,1,0,0,0,0,0,1,3.0,2,1,2,1,2.0,4.754887502163468,0.017543859649122806,0.3062830104734877,0.0,0.6211336369631982,1.6211336369631981,0.6211336369631982
8,135200,napi_create_buffer (135200),Method,17,0,9,8,0,9,0,0,3,6,21.0,10,16,39,48,97.21928094887363,408.938255478275,0.3188526872737399,0.07252972561371447,0.6689740567080056,0.0,1.6689740567080056,0.6689740567080056
9,122175,napi_set_last_error (122175),Method,1,102,0,1,0,0,0,0,0,1,9.0,3,4,9,7,12.754887502163468,44.91767875292167,0.017543859649122806,1.0,0.0,5.815699257087929,6.815699257087929,5.815699257087929
10,121821,napi_clear_last_error (121821),Method,1,31,0,1,0,0,0,0,0,1,7.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.6607563802322554,0.0,3.4430797123545256,4.443079712354526,3.4430797123545256
11,142179,New (142179),Method,2,2,0,2,0,0,0,0,0,2,29.0,6,8,12,14,39.50977500432694,98.99122797349771,0.03508771929824561,0.05020934460799946,0.0,0.03028957254646515,1.0302895725464651,0.03028957254646515
12,142083,Data (142083),Method,1,3,0,1,0,0,0,0,0,1,3.0,7,4,10,7,27.651484454403228,58.81033751683405,0.017543859649122806,0.0808174984316271,0.0,0.06454597201389767,1.0645459720138977,0.06454597201389767
13,73761,~Win32SymbolDebuggingContext (73761),Method,2,0,1,1,0,0,0,0,1,1,3.0,0,1,0,1,0.0,0.0,0.05263157894736842,0.014505945122742895,0.00564968388991039,0.0,1.0056496838899105,0.00564968388991039
14,274470,Stop (274470),Method,6,0,4,2,1,0,0,0,4,2,12.0,4,3,12,9,12.754887502163468,58.95445336320969,0.12280701754385964,0.02901189024548579,0.026365191486248486,0.0,1.0263651914862484,0.026365191486248486
15,274516,active_ (274516),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.09433978605306925,0.0,0.0331016793168664,1.0331016793168664,0.0331016793168664
16,274515,handle_ (274515),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.12034820176352556,0.0,0.05489567097985376,1.0548956709798538,0.05489567097985376
17,73769,WrappedSymFromAddr (73769),Method,3,0,1,2,1,0,0,0,1,2,29.0,5,7,10,13,31.26112492884004,82.45413751658658,0.07017543859649122,0.014505945122742895,0.0075329118532138535,0.0,1.007532911853214,0.0075329118532138535
18,86059,Call (86059),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,2,1,2,2.0,4.754887502163468,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
19,86069,object_id_ (86069),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
20,110639,node_api_symbol_for (110639),Method,6,0,5,1,0,5,0,0,3,1,18.0,10,13,19,28,81.32499728470782,212.60741193467962,0.12280701754385964,0.07252972561371447,0.2813976754601479,0.0,1.281397675460148,0.2813976754601479
21,100235,napi_create_string_utf8 (100235),Method,1,1,0,1,0,0,0,0,0,1,17.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.030276943599213367,0.0,0.0037182211437630447,1.003718221143763,0.0037182211437630447
22,122224,V8LocalValueFromJsValue (122224),Method,1,12,0,1,0,0,0,0,0,1,5.0,6,3,8,7,20.264662506490403,47.548875021634686,0.017543859649122806,0.29406473729910515,0.0,0.6725886764657332,1.6725886764657332,0.6725886764657332
23,290863,DefaultHandle (290863),Method,2,0,1,1,0,0,0,0,1,1,3.0,0,1,0,1,0.0,0.0,0.05263157894736842,0.014505945122742895,0.007600043136391071,0.0,1.0076000431363912,0.007600043136391071
24,291481,kDefaultHandleId (291481),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.14440081959143036,0.0,0.11146729933373573,1.1114672993337358,0.11146729933373573
25,102449,Args (102449),Method,7,0,2,5,0,2,0,0,2,4,16.0,4,10,16,23,41.219280948873624,148.48684196024655,0.14035087719298245,0.014505945122742895,0.04298708918926143,0.0,1.0429870891892614,0.04298708918926143
26,290871,StopTracing (290871),Method,7,0,5,2,1,0,0,0,5,2,12.0,4,3,5,5,12.754887502163468,28.07354922057604,0.14035087719298245,0.04351783536822868,0.04438555955346775,0.0,1.0443855595534677,0.04438555955346775
27,291477,started_ (291477),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.07650324407437012,0.0,0.0228167570046367,1.0228167570046367,0.0228167570046367
28,291492,tracing_controller_ (291492),Member,1,9,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.19648457134993655,0.0,0.2344026465227313,1.2344026465227314,0.2344026465227313
29,291475,thread_ (291475),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.04325929639415109,0.0,0.012901895415799447,1.0129018954157996,0.012901895415799447
30,59,AsyncResource (59),Method,3,0,2,1,0,0,0,0,2,1,10.0,1,6,1,6,15.509775004326936,19.651484454403228,0.07017543859649122,0.02901189024548579,0.017050847775855683,0.0,1.0170508477758557,0.017050847775855683
31,132152,env_ (132152),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.10806929116443456,0.0,0.03223119210167346,1.0322311921016734,0.03223119210167346
32,132154,async_context_ (132154),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.1349052896415089,0.0,0.044968429880502966,1.0449684298805029,0.044968429880502966
33,86077,Call (86077),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,3,1,3,4.754887502163468,8.0,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
34,86089,id_ (86089),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
35,76,~AsyncResource (76),Method,3,0,2,1,0,0,0,0,2,1,3.0,0,2,0,2,2.0,2.0,0.07017543859649122,0.02901189024548579,0.017050847775855683,0.0,1.0170508477758557,0.017050847775855683
36,290895,Disconnect (290895),Method,9,0,7,2,1,0,0,0,7,2,10.0,3,7,7,11,24.406371956566694,59.79470570797252,0.17543859649122806,0.08703567073645736,0.14699759421576214,0.0,1.1469975942157622,0.14699759421576214
37,291493,initialize_writer_mutex_ (291493),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.06620417957088683,0.0,0.041813166044770624,1.0418131660447707,0.041813166044770624
38,291496,to_be_initialized_ (291496),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.10514997672296279,0.0,0.06641051161450282,1.0664105116145028,0.06641051161450282
39,291491,writers_ (291491),Member,1,6,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.13479356300035078,0.0,0.10641597078975061,1.1064159707897505,0.10641597078975061
40,291490,categories_ (291490),Member,1,10,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.1908531767942769,0.0,0.20089808083608096,1.200898080836081,0.20089808083608096
41,86098,AnotherThreadObjectReference (86098),Method,3,0,2,1,0,0,0,0,2,1,5.0,2,4,2,4,10.0,15.509775004326936,0.07017543859649122,0.02901189024548579,0.01129936777982078,0.0,1.0112993677798208,0.01129936777982078
42,86198,thread_ (86198),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.08050799543122307,0.0,0.01694905166973117,1.0169490516697313,0.01694905166973117
43,86199,object_id_ (86199),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.08050799543122307,0.0,0.01694905166973117,1.0169490516697313,0.01694905166973117
44,83,MakeCallback (83),Method,4,0,3,1,0,1,0,0,2,1,7.0,2,6,2,6,17.509775004326936,24.0,0.08771929824561403,0.04351783536822868,0.027707627635765484,0.0,1.0277076276357655,0.027707627635765484
45,831,MakeCallback (831),Method,1,3,0,1,0,0,0,0,0,1,10.0,4,9,5,12,36.529325012980806,62.907475208398566,0.017543859649122806,0.07289237424178306,0.0,0.05115254332756706,1.051152543327567,0.05115254332756706
46,90202,NodeInspectorClient (90202),Method,3,0,2,1,0,0,0,0,2,1,10.0,4,6,8,10,23.509775004326936,59.79470570797252,0.07017543859649122,0.02901189024548579,0.02396280338171001,0.0,1.02396280338171,0.02396280338171001
47,91016,client_ (91016),Member,1,11,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.26835998477074346,0.0,0.18361472642208757,1.1836147264220875,0.18361472642208757
48,91014,is_main_ (91014),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.07310996341862419,0.0,0.038478928115065356,1.0384789281150653,0.038478928115065356
49,73818,WrappedGetLine (73818),Method,3,0,1,2,1,0,0,0,1,2,34.0,5,6,13,12,27.11941547876375,86.48579046593244,0.07017543859649122,0.014505945122742895,0.0075329118532138535,0.0,1.007532911853214,0.0075329118532138535
50,200805,Active (200805),Method,4,0,2,2,1,0,0,0,2,2,16.0,6,9,19,18,44.039100017307746,144.5549520375152,0.08771929824561403,0.014505945122742895,0.00951446560084213,0.0,1.0095144656008421,0.00951446560084213
51,198347,active_connections_ (198347),Member,1,8,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.10846490784960028,0.0,0.04566943488404222,1.0456694348840423,0.04566943488404222
52,86120,~AnotherThreadObjectReference (86120),Method,3,0,2,1,0,0,0,0,2,1,4.0,4,4,4,4,16.0,24.0,0.07017543859649122,0.02901189024548579,0.01129936777982078,0.0,1.0112993677798208,0.01129936777982078
53,86135,Call (86135),Method,3,0,2,1,0,0,0,0,2,1,5.0,5,5,6,7,23.21928094887362,43.18506523353571,0.07017543859649122,0.02901189024548579,0.01129936777982078,0.0,1.0112993677798208,0.01129936777982078
54,290937,Enable (290937),Method,5,0,3,2,0,0,0,0,3,2,8.0,3,5,7,8,16.36452797660028,45.0,0.10526315789473684,0.04351783536822868,0.05597248081427829,0.0,1.0559724808142783,0.05597248081427829
55,102522,SetReturnValue (102522),Method,2,0,1,1,0,1,0,0,1,1,4.0,4,5,8,7,19.60964047443681,47.548875021634686,0.05263157894736842,0.014505945122742895,0.015477091436795007,0.0,1.015477091436795,0.015477091436795007
56,90241,runMessageLoopOnPause (90241),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.004237262917432793,0.0,1.0042372629174328,0.004237262917432793
57,91020,waiting_for_resume_ (91020),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.08050799543122307,0.0,0.01836147264220877,1.0183614726422088,0.01836147264220877
58,90250,waitForSessionsDisconnect (90250),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.005909263960527895,0.0,1.0059092639605278,0.005909263960527895
59,91022,waiting_for_sessions_disconnect_ (91022),Member,1,5,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.11227601525003,0.0,0.07091116752633474,1.0709111675263348,0.07091116752633474
60,110738,set_error_code (110738),Method,11,2,7,4,0,7,0,0,2,3,25.0,12,19,57,63,123.730172764082,594.503557246425,0.21052631578947367,0.07966459193608409,0.2724346815366537,0.04180777330646832,1.3256323422496263,0.314242454843122
61,90258,waitForFrontend (90258),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.004237262917432793,0.0,1.0042372629174328,0.004237262917432793
62,91021,waiting_for_frontend_ (91021),Member,1,3,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.08050799543122307,0.0,0.01836147264220877,1.0183614726422088,0.01836147264220877
63,146,get_resource (146),Method,3,0,2,1,0,0,0,0,2,1,3.0,2,2,2,2,4.0,8.0,0.07017543859649122,0.02901189024548579,0.009467037869579573,0.0,1.0094670378695796,0.009467037869579573
64,132153,resource_ (132153),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0018832279633034634,1.0018832279633034,0.0018832279633034634
65,102550,Wrap (102550),Method,18,0,10,8,0,10,0,0,2,6,55.0,11,22,62,80,136.1612434150308,716.3039649489003,0.3333333333333333,0.05802378049097158,0.6593591410330375,0.0,1.6593591410330375,0.6593591410330375
66,103030,New (103030),Method,1,1,0,1,0,0,0,0,0,1,15.0,1,8,1,8,24.0,28.52932501298081,0.017543859649122806,0.02325630556775232,0.0,0.007752101855917439,1.0077521018559175,0.007752101855917439
67,90266,maxAsyncCallStackDepthChanged (90266),Method,7,0,2,5,1,0,0,0,2,4,14.0,3,4,4,5,12.754887502163468,25.26619429851844,0.14035087719298245,0.02901189024548579,0.04930592281011989,0.0,1.0493059228101198,0.04930592281011989
68,91013,env_ (91013),Member,1,11,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.23902868477207426,0.0,0.3019309702384096,1.3019309702384096,0.3019309702384096
69,290974,Disable (290974),Method,7,0,3,4,0,0,0,0,3,3,10.0,7,9,14,16,48.18080946738404,120.0,0.14035087719298245,0.04351783536822868,0.07462997441903772,0.0,1.0746299744190377,0.07462997441903772
70,159,get_async_id (159),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.0071002784021846795,0.0,1.0071002784021847,0.0071002784021846795
71,167,get_trigger_async_id (167),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.0071002784021846795,0.0,1.0071002784021847,0.0071002784021846795
72,200879,Expired (200879),Method,12,0,7,5,3,0,0,0,7,4,51.0,19,16,73,55,144.71062275542812,656.5482261689557,0.22807017543859648,0.04351783536822868,0.07405491319999416,0.0,1.0740549131999941,0.07405491319999416
73,200480,headers_completed_ (200480),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.09307973191089072,0.0,0.09634568741653601,1.096345687416536,0.09634568741653601
74,200484,last_message_start_ (200484),Member,1,10,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.12315767196256032,0.0,0.11235436740444098,1.112354367404441,0.11235436740444098
75,90300,contextCreated (90300),Method,3,0,1,2,0,0,0,0,1,2,18.0,3,8,14,15,28.75488750216347,100.32351694048162,0.07017543859649122,0.014505945122742895,0.01883227963303463,0.0,1.0188322796330347,0.01883227963303463
76,135371,napi_create_external_buffer (135371),Method,15,0,8,7,0,8,0,0,2,5,35.0,11,20,36,51,124.49230970275752,431.0150790036581,0.28441295546558704,0.05802378049097158,0.5737316747197992,0.0,1.5737316747197991,0.5737316747197992
77,86224,Connect (86224),Method,5,0,3,2,0,0,0,0,3,2,5.0,4,6,6,8,23.509775004326936,46.50699332842307,0.10526315789473684,0.04351783536822868,0.01129936777982078,0.0,1.0112993677798208,0.01129936777982078
78,86266,thread_ (86266),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
79,86268,session_ (86268),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.05367199695414871,0.0,0.008474525834865585,1.0084745258348655,0.008474525834865585
80,86267,prevent_shutdown_ (86267),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
81,291029,CreateTraceConfig (291029),Method,5,0,2,3,2,0,0,0,2,3,9.0,4,4,5,7,16.0,36.0,0.10526315789473684,0.014505945122742895,0.020089808083608093,0.0,1.020089808083608,0.020089808083608093
82,217308,GenDebugSymbols (217308),Method,15,0,14,1,0,0,0,0,14,1,18.0,6,23,51,35,119.55169999363824,417.78636558097116,0.2807017543859649,0.20308323171840054,0.10546076594499391,0.0,1.105460765944994,0.10546076594499391
83,217283,nodedbg_const_ContextEmbedderIndex__kEnvironment__int (217283),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
84,217284,nodedbg_const_BaseObject__kInternalFieldCount__int (217284),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
85,217285,nodedbg_offset_ExternalString__data__uintptr_t (217285),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
86,217286,nodedbg_offset_ReqWrap__req_wrap_queue___ListNode_ReqWrapQueue (217286),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
87,217288,nodedbg_offset_BaseObject__persistent_handle___v8_Persistent_v8_Object (217288),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
88,217290,nodedbg_offset_Environment__handle_wrap_queue___Environment_HandleWrapQueue (217290),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
89,217292,nodedbg_offset_Environment__req_wrap_queue___Environment_ReqWrapQueue (217292),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
90,217294,nodedbg_offset_HandleWrap__handle_wrap_queue___ListNode_HandleWrap (217294),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
91,217296,nodedbg_offset_Environment_HandleWrapQueue__head___ListNode_HandleWrap (217296),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
92,217298,nodedbg_offset_ListNode_HandleWrap__prev___uintptr_t (217298),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
93,217300,nodedbg_offset_ListNode_HandleWrap__next___uintptr_t (217300),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
94,217302,nodedbg_offset_Environment_ReqWrapQueue__head___ListNode_ReqWrapQueue (217302),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
95,217304,nodedbg_offset_ListNode_ReqWrap__prev___uintptr_t (217304),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
96,217306,nodedbg_offset_ListNode_ReqWrap__next___uintptr_t (217306),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0075329118532138535,1.007532911853214,0.0075329118532138535
97,299229,MakeFilename (299229),Method,2,0,1,1,0,0,0,0,1,1,43.0,5,7,56,37,31.26112492884004,333.4015125670675,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
98,298522,seq (298522),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
99,86253,Dispatch (86253),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,2,2,2,2.0,6.339850002884624,0.05263157894736842,0.014505945122742895,0.002824841944955195,0.0,1.0028248419449552,0.002824841944955195
100,291061,GetEnabledCategories (291061),Method,5,0,1,4,1,0,0,0,1,3,9.0,3,3,4,6,9.509775004326936,25.84962500721156,0.10526315789473684,0.014505945122742895,0.020089808083608093,0.0,1.020089808083608,0.020089808083608093
101,252,~CallbackScope (252),Method,5,0,3,2,1,0,0,0,3,2,5.0,3,2,3,3,6.754887502163468,13.931568569324174,0.10526315789473684,0.02901189024548579,0.005649683889910389,0.0,1.0056496838899105,0.005649683889910389
102,132076,try_catch_ (132076),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.027784464119715236,0.0,0.002924680433654235,1.0029246804336542,0.002924680433654235
103,132075,private_ (132075),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.02588753283443347,0.0,0.0027250034562561545,1.0027250034562563,0.0027250034562561545
104,86270,CrossThreadInspectorSession (86270),Method,2,0,1,1,0,0,0,0,1,1,10.0,2,4,4,4,10.0,20.67970000576925,0.05263157894736842,0.014505945122742895,0.002824841944955195,0.0,1.0028248419449552,0.002824841944955195
105,86309,state_ (86309),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.05367199695414871,0.0,0.00564968388991039,1.0056496838899105,0.00564968388991039
106,90365,contextDestroyed (90365),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,2,1,2,2.0,4.754887502163468,0.05263157894736842,0.014505945122742895,0.01412420972477597,0.0,1.014124209724776,0.01412420972477597
107,90375,quitMessageLoopOnPause (90375),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.004237262917432793,0.0,1.0042372629174328,0.004237262917432793
108,291086,AppendTraceEvent (291086),Method,3,0,1,2,1,0,0,0,1,2,4.0,0,1,0,1,0.0,0.0,0.07017543859649122,0.014505945122742895,0.009459197403533388,0.0,1.0094591974035334,0.009459197403533388
109,90382,runIfWaitingForDebugger (90382),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.004237262917432793,0.0,1.0042372629174328,0.004237262917432793
110,86291,Dispatch (86291),Method,2,0,1,1,0,0,0,0,1,1,4.0,2,4,4,4,10.0,20.67970000576925,0.05263157894736842,0.014505945122742895,0.002824841944955195,0.0,1.0028248419449552,0.002824841944955195
111,90390,connectFrontend (90390),Method,5,0,4,1,0,0,0,0,4,1,11.0,8,9,10,12,52.529325012980806,89.92418250750745,0.10526315789473684,0.05802378049097158,0.07730596954881516,0.0,1.0773059695488152,0.07730596954881516
112,91019,next_session_id_ (91019),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.002824841944955195,1.0028248419449552,0.002824841944955195
113,91018,channels_ (91018),Member,1,10,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.20018204269385195,0.0,0.1615504204195998,1.1615504204195999,0.1615504204195998
114,291101,AddMetadataEvent (291101),Method,3,0,2,1,0,0,0,0,2,1,4.0,1,4,2,4,8.0,13.931568569324174,0.07017543859649122,0.02901189024548579,0.007329319640964831,0.0,1.0073293196409647,0.007329319640964831
115,291497,metadata_events_mutex_ (291497),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.04786961890505156,0.0,0.009237996630799423,1.0092379966307994,0.009237996630799423
116,291498,metadata_events_ (291498),Member,1,2,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.05657318597869729,0.0,0.010917632381853861,1.0109176323818538,0.010917632381853861
117,86316,SendMessageToFrontend (86316),Method,2,0,1,1,0,0,0,0,1,1,7.0,1,1,1,1,0.0,2.0,0.05263157894736842,0.014505945122742895,0.0014124209724775975,0.0,1.0014124209724775,0.0014124209724775975
118,86327,delegate_ (86327),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.0014124209724775975,1.0014124209724775,0.0014124209724775975
119,291118,Flush (291118),Method,6,0,3,3,2,0,0,0,3,3,10.0,0,3,0,3,4.754887502163468,4.754887502163468,0.12280701754385964,0.04351783536822868,0.029379904827871884,0.0,1.0293799048278718,0.029379904827871884
120,90425,disconnectFrontend (90425),Method,17,0,8,9,4,0,0,0,8,6,16.0,6,8,14,16,39.50977500432694,114.22064766172812,0.3157894736842105,0.05802378049097158,0.19724106509513065,0.0,1.1972410650951306,0.19724106509513065
121,86333,~MainThreadInterface (86333),Method,4,0,2,2,1,0,0,0,2,2,4.0,1,1,1,2,0.0,3.0,0.08771929824561403,0.014505945122742895,0.004708069908258659,0.0,1.0047080699082587,0.004708069908258659
