16,METHOD_RETURN,RET,13,,BY_VALUE,13,3,,void
21,METHOD_RETURN,RET,18,,BY_VALUE,14,3,,ngx_int_t
26,METHOD_RETURN,RET,13,,BY_VALUE,15,3,,void
32,METHOD_RETURN,RET,18,,BY_VALUE,16,4,,ngx_int_t
37,METHOD_RETURN,RET,18,,BY_VALUE,17,3,,ngx_int_t
44,METHOD_RETURN,RET,18,,BY_VALUE,18,5,,ngx_int_t
49,METHOD_RETURN,RET,13,,BY_VALUE,19,3,,void*
55,METHOD_RETURN,RET,13,,BY_VALUE,20,4,,char*
62,METHOD_RETURN,RET,13,,BY_VALUE,21,5,,char*
69,METHOD_RETURN,RET,13,,BY_VALUE,22,5,,char*
76,METHOD_RETURN,RET,13,,BY_VALUE,23,5,,char*
83,METHOD_RETURN,RET,13,,BY_VALUE,24,5,,char*
90,METHOD_RETURN,RET,13,,BY_VALUE,26,5,,char*
97,METHOD_RETURN,RET,13,,BY_VALUE,28,5,,char*
750,METHOD_RETURN,RET,1,,BY_VALUE,196,4,,ANY
764,METHOD_RETURN,RET,1,,BY_VALUE,390,3,,void
898,METHOD_RETURN,RET,1,,BY_VALUE,458,3,,ngx_int_t
1275,METHOD_RETURN,RET,1,,BY_VALUE,518,4,,char**
1292,METHOD_RETURN,RET,1,,BY_VALUE,629,3,,void
1493,METHOD_RETURN,RET,1,,BY_VALUE,648,4,,ngx_pid_t
1801,METHOD_RETURN,RET,1,,BY_VALUE,749,4,,ngx_int_t
1898,METHOD_RETURN,RET,1,,BY_VALUE,895,5,,ngx_int_t
2198,METHOD_RETURN,RET,1,,BY_VALUE,937,3,,ngx_int_t
2292,METHOD_RETURN,RET,1,,BY_VALUE,1041,3,,void*
2667,METHOD_RETURN,RET,1,,BY_VALUE,1086,4,,char*
2809,METHOD_RETURN,RET,1,,BY_VALUE,1215,5,,char*
2885,METHOD_RETURN,RET,1,,BY_VALUE,1278,5,,char*
3001,METHOD_RETURN,RET,1,,BY_VALUE,1308,5,,char*
3015,METHOD_RETURN,RET,1,,BY_VALUE,1348,5,,char*
3022,METHOD_RETURN,RET,1,,BY_VALUE,1446,3,,ngx_cpuset_t
3096,METHOD_RETURN,RET,1,,BY_VALUE,1500,5,,char*
3110,METHOD_RETURN,RET,1,,BY_VALUE,1529,5,,char*
3112,METHOD_RETURN,RET,1,,BY_VALUE,1,2,,ANY
3117,METHOD_RETURN,RET,1,,BY_VALUE,1,2,,ANY
3158,METHOD_RETURN,RET,1,,BY_VALUE,12,5,,ngx_array_t
3226,METHOD_RETURN,RET,1,,BY_VALUE,30,3,,void
3355,METHOD_RETURN,RET,1,,BY_VALUE,47,3,,void*
3512,METHOD_RETURN,RET,1,,BY_VALUE,94,4,,void*
3514,METHOD_RETURN,RET,1,,BY_VALUE,1,2,,ANY
3535,METHOD_RETURN,RET,13,,BY_VALUE,25,5,,ngx_array_t*
3540,METHOD_RETURN,RET,6,,BY_VALUE,26,3,,void
3545,METHOD_RETURN,RET,6,,BY_VALUE,27,3,,void*
3551,METHOD_RETURN,RET,6,,BY_VALUE,28,4,,void*
3601,METHOD_RETURN,RET,1,,BY_VALUE,32,6,,ANY
3603,METHOD_RETURN,RET,1,,BY_VALUE,1,2,,ANY
3674,METHOD_RETURN,RET,1,,BY_VALUE,12,4,,ngx_buf_t
3712,METHOD_RETURN,RET,1,,BY_VALUE,47,3,,ngx_chain_t
3832,METHOD_RETURN,RET,1,,BY_VALUE,68,4,,ngx_chain_t
3909,METHOD_RETURN,RET,1,,BY_VALUE,126,5,,ngx_int_t
3970,METHOD_RETURN,RET,1,,BY_VALUE,156,4,,ngx_chain_t
4096,METHOD_RETURN,RET,1,,BY_VALUE,184,7,,void
4245,METHOD_RETURN,RET,1,,BY_VALUE,226,4,,off_t
4356,METHOD_RETURN,RET,1,,BY_VALUE,271,4,,ngx_chain_t
4358,METHOD_RETURN,RET,1,,BY_VALUE,1,2,,ANY
4405,METHOD_RETURN,RET,19,,BY_VALUE,73,4,,ngx_int_t
4411,METHOD_RETURN,RET,14,,BY_VALUE,75,4,,void
4428,METHOD_RETURN,RET,32,,BY_VALUE,94,3,,ssize_t
4434,METHOD_RETURN,RET,32,,BY_VALUE,99,4,,ngx_int_t
4455,METHOD_RETURN,RET,11,,BY_VALUE,143,4,,ngx_buf_t*
