2,477995,REF
9,477995,REF
17,13,REF
22,18,REF
27,23,REF
33,28,REF
38,34,REF
45,39,REF
50,46,REF
56,51,REF
63,57,REF
70,64,REF
77,71,REF
84,78,REF
91,85,REF
98,92,REF
101,99,REF
116,114,REF
214,99,REF
334,332,REF
342,340,REF
346,332,REF
347,114,REF
390,369,REF
391,370,REF
397,358,REF
418,373,REF
420,360,REF
421,361,REF
424,373,REF
431,376,REF
436,376,REF
438,373,REF
442,376,REF
445,376,REF
449,373,REF
453,376,REF
463,376,REF
464,369,REF
465,370,REF
474,376,REF
482,373,REF
499,376,REF
512,375,REF
515,376,REF
518,375,REF
529,376,REF
546,375,REF
553,377,REF
556,375,REF
562,374,REF
565,374,REF
568,375,REF
572,374,REF
583,377,REF
584,374,REF
590,377,REF
591,374,REF
596,372,REF
599,377,REF
600,374,REF
607,372,REF
611,372,REF
614,372,REF
621,364,REF
625,375,REF
626,364,REF
629,375,REF
633,375,REF
635,378,REF
640,375,REF
642,340,REF
646,378,REF
659,375,REF
670,378,REF
677,375,REF
697,378,REF
700,375,REF
709,375,REF
718,373,REF
728,373,REF
743,375,REF
747,375,REF
751,368,REF
757,357,REF
761,359,REF
765,752,REF
775,771,REF
782,771,REF
790,767,REF
794,771,REF
800,767,REF
803,767,REF
816,769,REF
817,771,REF
819,770,REF
820,769,REF
822,769,REF
824,769,REF
830,769,REF
834,769,REF
838,772,REF
840,770,REF
842,769,REF
843,770,REF
846,772,REF
852,770,REF
854,769,REF
857,773,REF
861,767,REF
865,773,REF
871,773,REF
876,773,REF
880,772,REF
883,773,REF
888,770,REF
889,769,REF
897,767,REF
899,766,REF
912,909,REF
917,901,REF
919,340,REF
923,902,REF
926,909,REF
931,909,REF
934,906,REF
937,909,REF
943,907,REF
946,907,REF
949,909,REF
953,907,REF
961,906,REF
962,907,REF
970,906,REF
971,907,REF
979,906,REF
983,909,REF
987,906,REF
994,906,REF
999,906,REF
1005,906,REF
1008,909,REF
1013,908,REF
1018,907,REF
1021,907,REF
1024,909,REF
1028,907,REF
1035,906,REF
1036,907,REF
1040,906,REF
1041,907,REF
1046,908,REF
1051,904,REF
1052,365,REF
1054,904,REF
1056,904,REF
1063,904,REF
1066,906,REF
1067,907,REF
1071,906,REF
1072,907,REF
1078,904,REF
1081,906,REF
1082,907,REF
1087,908,REF
1090,902,REF
1093,905,REF
1099,902,REF
1100,908,REF
1105,901,REF
1109,905,REF
1116,902,REF
1117,908,REF
1121,910,REF
1124,901,REF
1129,910,REF
1135,905,REF
1139,908,REF
1144,901,REF
1148,905,REF
1155,910,REF
1160,910,REF
1162,905,REF
1164,908,REF
1169,907,REF
1172,907,REF
1175,909,REF
1179,907,REF
1186,906,REF
1187,907,REF
1191,906,REF
1192,907,REF
1198,905,REF
1200,908,REF
